Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Number of Forward Gears,Fuel Information.City mpg,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
96,228,125,6,17,2010,304,273
96,228,125,6,18,2010,304,273
96,228,125,6,17,2010,304,273
96,228,125,6,18,2010,304,273
96,228,125,6,17,2010,304,273
96,228,125,6,18,2010,304,273
96,228,125,6,16,2010,426,420
96,228,125,6,16,2010,426,420
96,228,125,6,16,2010,426,420
96,228,125,6,16,2010,426,420
147,95,214,6,18,2011,333,325
173,63,92,6,20,2011,175,169
173,63,92,6,21,2011,175,169
173,63,92,6,21,2011,175,169
208,63,92,6,20,2011,276,248
208,63,92,6,18,2011,276,248
208,63,92,6,21,2011,175,169
208,63,92,6,21,2011,175,169
208,63,92,6,20,2011,276,248
208,63,92,6,18,2011,276,248
198,52,92,6,20,2011,276,248
198,52,92,6,18,2011,276,248
99,87,62,6,21,2012,176,168
99,87,62,6,22,2012,176,168
99,87,62,6,21,2012,176,168
99,87,62,6,22,2012,176,168
99,87,62,6,21,2012,176,168
99,98,62,6,22,2012,260,269
99,98,62,6,21,2012,260,269
200,105,249,6,30,2010,140,236
200,105,249,5,22,2010,170,177
200,105,249,6,23,2010,170,177
99,87,62,6,21,2011,176,168
99,87,62,6,22,2011,176,168
99,87,62,6,21,2011,176,168
99,87,62,6,22,2011,176,168
99,87,62,6,21,2011,176,168
99,98,62,6,22,2011,260,264
99,98,62,6,21,2011,260,264
126,109,34,6,18,2010,333,325
158,255,8,5,20,2010,140,136
158,255,8,4,20,2010,140,136
158,255,8,5,19,2010,140,136
158,255,8,4,18,2010,173,178
158,255,8,4,18,2010,173,178
158,255,8,4,18,2010,173,178
158,255,8,4,18,2010,173,178
155,151,216,5,26,2010,140,128
117,105,214,5,25,2010,140,128
155,151,216,5,26,2010,140,128
155,151,216,5,25,2010,140,128
155,151,216,5,26,2010,140,128
155,151,216,5,25,2010,140,128
155,151,216,5,26,2010,140,128
155,151,216,5,25,2010,140,128
155,151,216,5,26,2010,140,128
155,151,216,5,25,2010,140,128
155,151,216,5,26,2010,140,128
155,151,216,5,25,2010,140,128
155,151,216,6,21,2010,197,139
155,151,216,5,24,2010,113,109
41,20,57,5,15,2011,266,288
41,20,57,5,15,2011,266,288
52,20,57,5,14,2011,266,288
52,20,57,5,14,2011,266,288
36,20,57,5,15,2011,266,288
52,20,57,5,14,2011,266,288
41,20,57,5,15,2011,266,288
54,20,57,5,13,2011,310,388
52,20,57,5,14,2011,266,288
188,68,97,6,20,2011,175,169
188,68,97,6,20,2011,276,248
188,68,97,6,20,2011,276,248
188,68,97,6,20,2011,276,248
188,68,97,6,20,2011,175,169
188,68,97,6,20,2011,276,248
188,68,97,6,20,2011,175,169
188,68,97,6,19,2011,175,169
188,68,97,6,20,2011,276,248
188,68,97,6,20,2011,276,248
188,68,97,6,20,2010,276,248
188,68,97,6,20,2010,276,248
188,68,97,6,21,2010,175,169
188,68,97,6,20,2010,175,169
188,68,97,6,20,2010,276,248
188,68,97,6,20,2010,276,248
188,68,97,6,20,2010,175,169
188,68,97,6,19,2010,175,169
5,33,143,6,18,2012,263,249
5,33,143,6,18,2012,263,249
5,33,143,6,17,2012,263,249
5,33,143,6,18,2012,263,249
5,33,143,6,17,2012,263,249
5,33,143,6,18,2011,263,249
5,33,143,6,18,2011,263,249
5,33,143,6,17,2011,263,249
5,33,143,6,18,2011,263,249
5,33,143,6,17,2011,263,249
5,33,143,6,18,2010,263,249
5,33,143,6,18,2010,263,249
5,33,143,6,17,2010,263,249
5,33,143,6,18,2010,263,249
5,33,143,6,17,2010,263,249
200,105,249,6,23,2010,170,177
200,105,249,6,30,2010,140,236
200,105,249,5,23,2011,170,177
200,105,249,6,24,2011,170,177
200,105,249,6,30,2011,140,236
165,70,138,6,19,2011,285,253
165,70,138,6,19,2011,285,253
165,70,138,6,18,2011,285,253
165,70,138,6,19,2011,285,253
165,70,138,6,18,2011,285,253
165,70,138,6,18,2011,305,280
165,70,138,6,17,2011,305,280
200,105,249,6,24,2011,170,177
200,105,249,6,30,2011,140,236
89,27,228,6,16,2012,354,325
89,27,228,6,14,2012,354,325
165,70,138,6,19,2012,285,253
165,70,138,6,19,2012,285,253
165,70,138,6,18,2012,285,253
165,70,138,6,19,2012,285,253
165,70,138,6,18,2012,285,253
165,70,138,6,19,2012,305,280
165,70,138,6,17,2012,305,280
165,108,133,6,18,2010,265,250
165,108,133,6,17,2010,265,250
165,108,133,6,18,2010,265,250
165,108,133,6,17,2010,265,250
165,108,133,6,18,2010,265,250
165,108,133,6,17,2010,265,250
165,108,133,6,18,2010,265,250
165,108,133,6,17,2010,265,250
92,17,62,6,16,2011,354,325
92,17,62,6,14,2011,354,325
165,70,138,6,21,2012,240,270
165,70,138,6,21,2012,240,270
165,70,138,6,21,2012,240,270
89,27,62,6,16,2010,354,325
89,27,62,6,14,2010,354,325
169,52,237,6,14,2011,435,398
169,52,220,6,14,2010,435,398
155,151,216,5,26,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,5,26,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,5,26,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,5,26,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,5,26,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,5,25,2011,140,128
155,151,216,6,21,2011,197,139
155,151,216,5,24,2011,113,109
212,108,135,6,15,2012,505,470
212,108,135,6,15,2012,505,470
212,108,135,6,15,2012,505,470
212,108,135,6,15,2011,505,470
212,108,135,6,15,2011,505,470
212,108,135,6,15,2011,505,470
212,108,135,6,15,2010,505,470
212,108,135,6,15,2010,505,470
212,108,135,6,15,2010,505,470
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
52,20,57,5,14,2010,266,288
36,20,57,5,15,2010,266,288
41,20,57,5,15,2010,266,288
52,20,57,5,14,2010,266,288
54,20,57,5,13,2010,310,388
52,20,57,5,14,2010,266,288
41,20,57,5,15,2010,266,288
214,15,161,6,16,2010,197,230
214,23,161,6,16,2010,197,230
214,15,161,6,17,2010,251,259
214,23,161,6,17,2010,251,259
41,25,57,5,15,2009,266,288
52,25,57,5,14,2009,266,288
52,25,57,5,14,2009,266,288
54,25,57,5,13,2009,310,388
36,25,57,5,15,2009,266,288
52,25,57,5,14,2009,266,288
52,25,57,5,14,2009,266,288
41,25,57,5,15,2009,266,288
115,23,161,6,17,2011,283,260
214,23,161,6,17,2011,283,260
214,23,161,6,17,2011,283,260
214,15,161,6,17,2011,283,260
148,75,16,6,19,2010,200,207
148,75,16,6,18,2010,200,207
150,75,16,6,18,2010,200,207
150,75,16,6,18,2010,200,207
190,212,41,6,24,2012,198,184
190,212,41,6,24,2012,190,179
190,212,41,6,24,2012,200,186
190,212,41,6,24,2012,190,179
190,212,41,6,24,2012,198,184
190,212,41,6,22,2012,274,269
190,212,41,6,24,2012,198,184
190,212,41,6,22,2012,274,269
190,212,41,6,22,2011,200,186
190,212,41,6,22,2011,274,269
190,212,41,6,22,2011,198,184
190,212,41,6,24,2011,198,184
190,212,41,6,22,2011,274,269
190,212,41,6,22,2011,190,179
190,212,41,6,22,2011,190,179
190,212,41,6,22,2011,200,186
193,190,39,5,22,2010,175,168
193,190,39,5,21,2010,175,168
193,190,39,5,22,2010,168,163
193,190,39,5,22,2010,168,163
193,190,39,5,22,2010,175,168
193,190,39,5,22,2010,175,168
193,190,39,5,22,2010,168,163
193,190,39,5,19,2010,249,229
193,190,39,5,19,2010,249,229
114,239,203,6,31,2011,122,128
114,239,203,6,31,2011,122,128
13,233,153,6,17,2011,260,257
13,233,153,6,17,2011,260,257
13,233,153,6,16,2011,260,257
13,233,153,6,16,2011,260,257
13,233,153,6,16,2010,260,257
13,233,153,6,17,2010,260,257
13,233,153,6,16,2010,260,257
13,233,153,6,17,2010,260,257
244,8,158,5,27,2011,117,106
244,8,158,5,28,2011,117,106
244,8,158,5,27,2011,117,106
244,8,158,5,27,2011,117,106
185,212,41,6,35,2011,166,154
120,47,29,6,23,2012,165,146
148,47,29,6,22,2012,176,168
120,47,29,6,21,2012,170,163
120,47,29,6,22,2012,176,168
120,47,29,6,21,2012,170,163
120,47,29,6,22,2012,170,163
120,47,29,5,20,2012,165,146
148,47,29,6,21,2012,176,168
148,47,29,6,22,2012,170,163
148,47,29,6,21,2012,170,163
109,73,79,5,20,2011,161,161
109,73,79,5,20,2011,161,161
109,73,79,6,18,2011,244,258
109,73,79,6,17,2011,244,258
109,73,79,5,20,2011,161,161
109,73,79,6,18,2011,244,258
109,73,79,6,17,2011,244,258
191,5,135,6,17,2012,262,248
191,5,135,6,17,2012,262,248
191,5,135,6,16,2012,262,248
191,5,135,6,17,2012,262,248
191,5,135,6,16,2012,262,248
191,5,135,6,16,2012,355,350
191,5,135,6,17,2012,262,248
191,5,135,6,16,2012,262,248
191,5,135,6,16,2012,355,350
244,8,158,5,27,2010,117,106
244,8,158,5,28,2010,117,106
244,8,158,5,27,2010,117,106
244,8,158,5,27,2010,117,106
191,5,135,6,17,2011,262,248
191,5,135,6,17,2011,262,248
191,5,135,6,16,2011,262,248
191,5,135,6,16,2011,355,350
191,5,135,6,17,2011,262,248
191,5,135,6,16,2011,262,248
191,5,135,6,16,2011,355,350
191,5,135,6,17,2011,262,248
191,5,135,6,16,2011,262,248
191,5,135,6,16,2011,355,350
109,73,79,5,20,2010,161,161
109,73,79,5,20,2010,161,161
109,73,79,6,18,2010,244,258
109,73,79,6,17,2010,244,258
109,73,79,6,18,2010,244,258
109,73,79,6,17,2010,244,258
120,47,29,6,23,2011,165,146
148,47,29,6,22,2011,176,168
148,47,29,6,22,2011,170,163
148,47,29,6,21,2011,176,168
148,47,29,6,21,2011,170,163
148,47,29,6,21,2011,176,168
148,47,29,6,22,2011,170,163
120,47,29,5,20,2011,165,146
148,47,29,6,21,2011,170,163
148,47,29,6,22,2011,176,168
220,79,237,6,11,2012,430,316
220,83,237,6,12,2012,525,391
191,5,135,6,17,2010,262,248
191,5,135,6,17,2010,262,248
191,5,135,6,16,2010,262,248
191,5,135,6,16,2010,355,350
191,5,135,6,17,2010,262,248
191,5,135,6,16,2010,262,248
191,5,135,6,16,2010,355,350
191,221,143,6,17,2011,273,270
191,221,143,6,16,2011,273,270
191,221,143,6,17,2011,273,270
191,221,143,6,16,2011,273,270
191,221,143,6,17,2011,273,270
191,221,143,6,16,2011,273,270
148,75,16,6,18,2011,200,207
148,75,16,6,20,2011,200,207
148,75,16,6,20,2011,200,207
150,75,16,6,20,2011,200,207
191,146,135,6,14,2010,280,265
191,146,135,6,18,2010,225,406
137,200,79,7,14,2010,382,391
137,200,79,5,11,2010,510,612
137,200,79,7,11,2010,518,465
137,200,79,5,11,2010,621,738
132,9,211,6,18,2011,230,200
132,9,211,6,18,2011,230,200
132,9,211,6,19,2011,300,300
137,231,79,5,12,2011,510,612
137,200,79,7,15,2011,536,590
137,231,79,7,15,2011,429,516
137,200,79,5,12,2011,621,738
127,9,211,6,18,2010,300,300
127,9,211,6,18,2010,300,300
142,9,211,6,18,2010,230,200
142,9,211,6,18,2010,230,200
148,47,29,6,23,2010,176,168
120,47,29,6,22,2010,176,168
148,47,29,6,21,2010,170,163
148,47,29,6,21,2010,176,168
120,47,29,6,21,2010,176,168
120,47,29,6,21,2010,170,163
148,47,29,6,23,2010,170,163
120,47,29,6,23,2010,176,168
120,47,29,6,23,2010,170,163
127,9,211,6,20,2011,300,300
142,9,211,6,18,2011,230,200
142,9,211,6,18,2011,230,200
134,53,79,7,14,2010,382,391
109,53,79,7,12,2010,507,465
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
134,53,79,7,12,2011,507,465
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
71,230,41,5,17,2012,265,262
71,230,41,4,20,2012,162,162
71,230,41,4,20,2012,162,162
71,230,41,5,20,2012,162,162
71,230,41,4,20,2012,162,162
71,230,41,4,20,2011,162,162
71,230,41,5,20,2011,162,162
71,230,41,4,20,2011,162,162
71,230,41,5,17,2011,265,262
71,230,41,5,16,2010,265,262
71,230,41,5,20,2010,162,162
71,230,41,4,20,2010,162,162
71,230,41,4,20,2010,162,162
71,230,41,6,16,2010,265,262
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
223,82,52,6,16,2012,430,424
223,82,52,6,15,2012,430,424
148,12,24,4,22,2010,179,172
148,12,24,4,21,2010,179,172
148,12,24,5,19,2010,269,246
148,12,24,5,19,2010,269,246
208,12,62,4,22,2010,179,172
208,12,62,4,21,2010,179,172
208,12,62,5,19,2010,269,246
208,12,62,5,19,2010,269,246
208,12,62,4,22,2010,179,172
208,12,62,4,21,2010,179,172
208,12,62,5,19,2010,269,246
208,12,62,5,19,2010,269,246
94,230,41,4,20,2012,162,162
94,230,41,4,20,2012,162,162
94,230,41,5,16,2012,265,262
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
223,82,52,6,16,2011,430,424
223,82,52,6,15,2011,430,424
94,230,41,4,20,2011,162,162
94,230,41,5,16,2011,265,262
109,230,41,5,16,2010,265,262
101,230,41,4,19,2010,162,162
231,238,77,4,15,2011,225,255
231,238,77,4,15,2011,225,255
231,238,77,4,15,2011,225,255
231,238,77,4,15,2010,225,255
231,238,77,4,15,2010,225,255
231,238,77,4,15,2010,225,255
193,245,46,4,21,2011,160,157
190,245,46,4,21,2011,160,157
190,245,46,4,21,2010,160,157
193,245,46,4,21,2010,160,157
175,251,49,6,14,2011,556,551
175,251,49,6,12,2011,556,551
210,220,226,5,24,2011,148,146
210,220,226,5,24,2011,148,146
210,220,226,5,22,2011,168,167
210,220,226,5,22,2010,152,146
210,220,226,5,20,2010,168,167
210,220,226,5,22,2010,152,146
13,233,153,6,16,2010,260,257
175,2,49,6,14,2010,556,551
175,2,49,6,12,2010,556,551
142,200,90,6,12,2011,556,551
142,200,90,6,14,2011,556,551
193,12,49,6,14,2011,556,551
193,12,49,6,12,2011,556,551
193,251,49,6,16,2011,270,223
193,251,49,6,18,2011,270,223
193,251,49,6,18,2011,270,223
193,251,49,6,16,2011,270,223
193,251,49,6,18,2011,270,223
193,251,49,6,18,2011,270,223
193,251,49,6,18,2011,270,223
193,251,49,6,16,2011,304,273
193,251,49,6,18,2011,304,273
223,2,49,6,18,2010,270,223
193,251,49,6,16,2011,304,273
193,251,49,6,18,2011,304,273
193,251,49,6,18,2011,304,273
193,251,49,6,16,2010,270,223
163,89,237,6,14,2011,310,327
163,89,237,6,14,2011,310,327
163,89,237,6,13,2011,381,401
163,89,237,6,12,2011,381,401
163,89,237,6,14,2011,381,401
163,89,237,6,13,2011,381,401
163,89,237,6,12,2011,381,401
163,89,237,6,14,2011,381,401
163,89,237,6,13,2011,381,401
163,89,237,6,12,2011,381,401
104,227,247,6,17,2010,230,200
104,227,247,6,17,2010,300,300
104,227,247,6,17,2010,300,300
104,227,247,6,18,2010,230,200
54,22,11,5,17,2009,297,253
54,22,11,5,16,2009,297,253
54,22,11,5,17,2009,297,253
54,22,11,5,16,2009,297,253
117,91,249,7,15,2011,382,391
117,91,249,7,17,2011,268,258
104,12,247,6,17,2011,230,200
104,12,247,6,19,2011,300,300
104,12,247,6,18,2011,230,200
91,12,247,6,18,2011,320,332
104,12,247,6,19,2011,300,300
36,22,11,5,17,2010,297,253
36,22,11,5,16,2010,297,253
36,22,11,5,17,2010,297,253
36,22,11,5,16,2010,297,253
117,91,249,7,15,2010,382,391
117,91,249,7,17,2010,268,258
111,91,249,7,17,2011,268,258
111,91,249,7,15,2011,382,391
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
223,82,52,6,16,2010,430,424
223,82,52,6,15,2010,430,424
185,5,62,7,17,2010,268,258
185,5,135,7,15,2010,382,391
185,5,135,7,16,2010,382,391
185,5,62,7,18,2010,268,258
162,22,183,7,13,2010,518,465
94,247,247,6,18,2010,230,200
114,247,247,6,17,2010,300,300
114,247,247,6,17,2010,230,200
94,247,247,6,17,2010,300,300
94,247,247,6,17,2010,300,300
94,247,247,6,18,2010,230,200
114,247,247,6,17,2010,230,200
114,247,247,6,16,2010,300,300
212,123,135,6,14,2012,638,604
212,123,135,6,14,2012,638,604
212,123,135,6,14,2011,638,604
212,123,135,6,14,2011,638,604
212,123,135,6,14,2010,638,604
212,123,135,6,14,2010,638,604
221,222,254,6,21,2011,200,180
231,214,254,6,24,2011,140,147
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
114,12,247,6,18,2011,300,300
94,12,247,6,18,2011,230,200
114,12,247,6,17,2011,230,200
94,12,247,6,19,2011,300,300
94,12,247,6,18,2011,230,200
114,12,247,6,17,2011,230,200
94,12,247,6,18,2011,320,332
114,12,247,6,19,2011,300,300
94,12,247,6,19,2011,300,300
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
190,5,62,7,15,2011,382,391
190,5,62,7,15,2011,382,391
190,5,62,7,17,2011,268,258
162,22,79,7,13,2011,518,465
190,5,62,7,22,2011,210,400
190,5,62,7,17,2011,268,258
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
216,30,62,7,16,2011,268,258
138,78,31,7,11,2010,382,391
138,78,64,5,11,2010,500,516
138,78,31,7,11,2011,382,391
138,78,31,5,11,2011,500,516
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2012,430,424
212,108,135,6,15,2012,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2011,430,424
212,108,135,6,15,2011,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
212,108,135,6,16,2010,430,424
212,108,135,6,15,2010,430,424
223,2,49,6,16,2010,270,223
193,2,49,6,18,2010,270,223
64,29,217,6,14,2011,403,417
223,2,49,6,16,2010,270,223
193,2,49,6,18,2010,270,223
223,2,49,6,18,2010,270,223
193,2,49,6,18,2010,270,223
193,2,49,6,16,2010,304,273
193,2,49,6,18,2010,304,273
193,2,49,6,16,2010,304,273
193,2,49,6,18,2010,304,273
193,2,49,6,18,2010,304,273
193,2,49,6,18,2010,304,273
200,143,19,5,17,2011,291,300
200,143,19,5,16,2010,291,300
236,230,226,5,24,2011,148,145
236,230,226,5,22,2011,168,167
236,230,226,5,20,2010,168,167
183,57,8,6,19,2011,230,215
142,57,8,6,18,2010,230,215
183,57,8,6,19,2010,230,215
183,57,8,6,18,2010,230,215
142,200,90,6,18,2011,304,273
142,200,90,6,18,2011,304,273
142,200,90,6,16,2011,304,273
142,200,90,6,18,2011,304,273
142,200,90,6,18,2011,304,273
142,200,90,6,16,2011,304,273
142,200,90,6,18,2011,304,273
142,200,90,6,18,2011,304,273
102,89,234,6,14,2010,310,327
102,89,234,6,14,2010,381,401
102,89,234,6,13,2010,310,327
102,89,234,6,13,2010,381,401
102,89,234,6,13,2010,381,401
102,89,234,6,14,2010,381,401
102,89,234,6,13,2010,381,401
102,89,234,6,13,2010,381,401
102,89,234,6,14,2010,381,401
102,89,234,6,13,2010,381,401
102,89,234,6,13,2010,381,401
94,199,234,5,24,2011,148,145
183,153,107,4,15,2011,275,295
183,153,107,4,15,2011,275,295
183,153,107,4,15,2011,275,295
183,153,107,4,15,2011,292,288
36,22,11,7,17,2011,297,253
36,22,11,7,17,2011,297,253
36,22,11,7,17,2011,297,253
36,22,11,7,17,2011,297,253
139,174,24,6,17,2010,300,300
144,174,24,6,17,2010,300,300
139,174,24,6,18,2010,230,200
144,174,24,6,23,2010,265,425
144,174,24,6,17,2010,230,200
144,174,24,6,16,2010,300,300
144,174,24,6,17,2010,230,200
139,174,24,6,18,2010,230,200
139,174,24,6,17,2010,300,300
46,231,148,7,17,2010,210,400
46,231,148,7,13,2010,335,339
46,231,148,7,12,2010,382,391
231,214,254,6,24,2010,140,147
221,222,254,6,21,2010,200,180
46,231,148,7,12,2011,382,391
46,231,148,7,13,2011,335,339
46,231,148,7,17,2011,210,400
254,199,158,6,26,2011,122,127
254,199,158,4,24,2011,122,127
254,199,158,4,24,2010,122,127
254,199,158,6,26,2010,122,127
163,174,95,7,16,2010,268,258
163,174,95,7,16,2010,268,258
163,174,224,7,16,2011,268,258
163,174,224,7,16,2011,268,258
144,174,24,6,23,2011,265,425
144,174,24,6,18,2011,300,300
139,174,24,6,18,2011,230,200
144,174,24,6,17,2011,230,200
144,174,24,6,17,2011,230,200
139,174,24,6,18,2011,230,200
139,174,24,6,19,2011,300,300
144,174,24,6,19,2011,300,300
139,174,24,6,19,2011,300,300
188,85,13,5,23,2012,171,171
188,85,13,6,21,2012,171,171
186,85,13,6,20,2012,171,171
188,85,13,6,21,2012,171,171
188,85,13,6,14,2012,240,223
186,85,13,6,20,2012,171,171
186,85,13,6,13,2012,240,223
188,85,13,6,21,2012,171,171
188,85,13,6,14,2012,240,223
186,85,13,6,20,2012,171,171
186,85,13,6,13,2012,240,223
188,85,13,5,23,2011,171,171
188,85,13,6,21,2011,171,171
186,85,13,6,22,2011,171,171
188,85,13,6,21,2011,171,171
188,85,13,6,19,2011,240,223
186,85,13,6,22,2011,171,171
186,85,13,6,13,2011,240,223
188,85,13,6,21,2011,171,171
188,85,13,6,19,2011,240,223
186,85,13,6,22,2011,171,171
125,36,166,7,18,2010,210,400
125,36,166,7,14,2010,268,258
125,36,166,7,18,2011,210,400
125,36,166,7,15,2011,268,258
195,245,3,6,25,2012,138,123
195,245,3,6,22,2012,138,123
195,245,3,6,26,2012,138,148
195,245,3,6,26,2012,138,148
195,245,3,6,28,2012,138,148
195,245,3,6,26,2012,138,148
195,245,3,6,26,2012,138,148
195,245,3,6,26,2012,138,148
195,245,3,6,26,2012,138,148
137,184,24,6,17,2010,230,200
137,184,24,6,17,2010,230,200
137,184,24,6,17,2010,230,200
137,184,24,6,18,2010,230,200
195,245,3,6,26,2011,136,123
195,245,3,6,22,2011,136,123
195,245,3,6,24,2011,138,148
195,245,3,6,28,2011,138,148
195,245,3,6,26,2011,138,148
195,245,3,6,24,2011,138,148
195,245,3,6,24,2011,138,148
132,225,118,6,18,2011,265,223
132,225,118,6,18,2011,265,223
132,225,118,6,18,2011,265,223
132,225,118,6,17,2011,265,223
132,225,118,6,18,2011,265,223
132,225,118,6,17,2011,265,223
132,225,118,6,17,2011,265,223
188,85,13,5,22,2010,171,171
188,85,13,6,21,2010,171,171
186,85,13,6,22,2010,171,171
188,85,13,6,21,2010,171,171
188,85,13,6,19,2010,240,223
186,85,13,6,22,2010,171,171
186,85,13,6,13,2010,240,223
188,85,13,6,21,2010,171,171
188,85,13,6,19,2010,240,223
186,85,13,6,22,2010,171,171
186,85,13,6,13,2010,240,223
254,118,158,4,24,2011,122,127
254,118,158,6,26,2011,122,127
254,118,158,4,24,2011,122,127
254,118,158,5,26,2011,107,111
254,118,158,4,25,2011,107,111
254,118,158,5,26,2011,107,111
64,29,217,6,13,2011,403,417
64,29,217,6,10,2011,403,417
64,29,217,6,9,2011,403,417
64,29,217,6,10,2011,403,417
64,29,217,6,13,2011,403,417
64,29,217,6,10,2011,403,417
64,29,217,6,13,2011,403,417
254,118,158,6,26,2010,122,127
254,118,158,4,26,2010,107,111
254,118,158,4,24,2010,122,127
254,118,158,5,26,2010,107,111
254,118,158,4,24,2010,122,127
254,118,158,5,26,2010,107,111
137,184,24,6,17,2011,230,200
137,184,24,6,18,2011,230,200
137,184,24,6,17,2011,230,200
137,184,24,6,17,2011,230,200
125,29,217,6,14,2010,403,417
125,29,217,6,10,2010,403,417
125,29,217,6,14,2010,403,417
125,29,217,6,10,2010,403,417
125,29,217,6,10,2010,403,417
125,29,217,6,10,2010,403,417
125,29,217,6,14,2010,403,417
125,29,217,6,13,2010,403,417
135,23,214,4,20,2011,332,367
135,23,214,4,20,2011,332,367
135,23,214,4,20,2011,332,367
135,23,214,4,20,2011,332,367
203,28,57,6,20,2011,173,166
203,28,57,4,21,2011,173,166
203,28,57,6,19,2011,283,260
203,28,57,6,20,2011,173,166
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
142,202,26,5,21,2011,180,161
216,241,32,4,21,2010,173,166
216,241,32,4,21,2010,173,166
216,241,32,4,21,2010,173,166
142,166,26,5,21,2010,180,161
142,166,26,5,21,2010,180,161
142,166,26,5,21,2010,180,161
142,166,26,5,21,2010,180,161
142,166,26,5,21,2010,180,161
26,166,26,5,21,2010,180,161
135,23,214,4,21,2010,332,367
135,23,214,4,21,2010,332,367
183,153,107,4,15,2010,275,295
183,153,107,4,15,2010,275,295
183,153,107,4,15,2010,275,295
183,153,107,4,15,2010,292,288
252,219,26,5,20,2011,166,161
252,219,26,5,19,2011,166,161
252,219,26,5,20,2011,166,161
252,219,26,5,19,2011,166,161
132,225,118,6,18,2010,265,223
132,225,118,6,18,2010,265,223
132,225,118,6,17,2010,265,223
132,225,118,6,18,2010,265,223
132,225,118,6,17,2010,265,223
132,225,118,6,15,2010,300,295
132,225,118,6,18,2010,265,223
132,225,118,6,17,2010,265,223
132,225,118,6,15,2010,300,295
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,10,2011,403,417
135,23,214,6,13,2011,403,417
110,186,57,6,16,2011,261,281
110,186,57,5,16,2011,261,281
110,186,57,5,15,2011,261,281
110,186,57,5,15,2011,261,281
110,186,57,5,16,2011,261,281
110,186,57,6,16,2011,261,281
