mpg,Length,Width,Number of Forward Gears,Year,Car Height,Horsepower,Torque,
18,169,85,5,2010,144,210,240,
16,169,85,5,2010,144,210,240,
18,169,85,5,2010,144,210,240,
16,169,85,5,2010,144,210,240,
16,169,85,5,2010,144,315,325,
17,169,85,5,2010,144,315,325,
16,169,85,5,2010,144,315,325,
17,169,85,5,2010,144,315,325,
12,83,138,6,2010,228,525,391,
12,79,112,6,2010,228,420,317,
18,10,191,6,2012,224,271,248,
18,10,191,6,2012,239,271,248,
15,172,85,6,2012,127,550,510,
15,172,85,6,2012,119,550,510,
15,172,85,6,2011,139,550,510,
15,172,85,6,2011,104,550,510,
15,172,85,6,2010,104,550,510,
14,172,85,6,2010,139,550,510,
18,10,191,6,2011,24,271,248,
18,10,191,6,2011,36,271,248,
17,202,191,5,2010,224,244,253,
17,10,191,5,2010,224,244,253,
17,10,191,5,2010,224,244,253,
11,79,113,6,2011,220,420,317,
21,115,242,6,2010,188,200,207,
12,83,113,6,2011,220,525,391,
20,63,92,6,2012,173,175,169,
21,63,92,6,2012,173,175,169,
21,63,92,6,2012,173,175,169,
20,63,92,6,2012,173,276,248,
18,63,92,6,2012,173,276,248,
22,63,92,6,2012,173,191,181,
21,63,92,6,2012,173,191,181,
20,63,92,6,2012,173,276,248,
18,63,92,6,2012,173,276,248,
20,63,92,6,2012,163,276,248,
18,63,92,6,2012,163,276,248,
18,109,248,6,2012,126,333,325,
17,228,125,6,2010,96,304,273,
18,228,125,6,2010,96,304,273,
17,228,125,6,2010,96,304,273,
18,228,125,6,2010,96,304,273,
17,228,125,6,2010,96,304,273,
18,228,125,6,2010,96,304,273,
16,228,125,6,2010,96,426,420,
16,228,125,6,2010,96,426,420,
16,228,125,6,2010,96,426,420,
16,228,125,6,2010,96,426,420,
18,95,214,6,2011,147,333,325,
20,63,92,6,2011,173,175,169,
21,63,92,6,2011,173,175,169,
21,63,92,6,2011,173,175,169,
20,63,92,6,2011,208,276,248,
18,63,92,6,2011,208,276,248,
21,63,92,6,2011,208,175,169,
21,63,92,6,2011,208,175,169,
20,63,92,6,2011,208,276,248,
18,63,92,6,2011,208,276,248,
20,52,92,6,2011,198,276,248,
18,52,92,6,2011,198,276,248,
21,87,62,6,2012,99,176,168,
22,87,62,6,2012,99,176,168,
21,87,62,6,2012,99,176,168,
22,87,62,6,2012,99,176,168,
21,87,62,6,2012,99,176,168,
22,98,62,6,2012,99,260,269,
21,98,62,6,2012,99,260,269,
30,105,249,6,2010,200,140,236,
22,105,249,5,2010,200,170,177,
23,105,249,6,2010,200,170,177,
21,87,62,6,2011,99,176,168,
22,87,62,6,2011,99,176,168,
21,87,62,6,2011,99,176,168,
22,87,62,6,2011,99,176,168,
21,87,62,6,2011,99,176,168,
22,98,62,6,2011,99,260,264,
21,98,62,6,2011,99,260,264,
18,109,34,6,2010,126,333,325,
20,255,8,5,2010,158,140,136,
20,255,8,4,2010,158,140,136,
19,255,8,5,2010,158,140,136,
18,255,8,4,2010,158,173,178,
18,255,8,4,2010,158,173,178,
18,255,8,4,2010,158,173,178,
18,255,8,4,2010,158,173,178,
26,151,216,5,2010,155,140,128,
25,105,214,5,2010,117,140,128,
26,151,216,5,2010,155,140,128,
25,151,216,5,2010,155,140,128,
26,151,216,5,2010,155,140,128,
25,151,216,5,2010,155,140,128,
26,151,216,5,2010,155,140,128,
25,151,216,5,2010,155,140,128,
26,151,216,5,2010,155,140,128,
25,151,216,5,2010,155,140,128,
26,151,216,5,2010,155,140,128,
25,151,216,5,2010,155,140,128,
21,151,216,6,2010,155,197,139,
24,151,216,5,2010,155,113,109,
15,20,57,5,2011,41,266,288,
15,20,57,5,2011,41,266,288,
14,20,57,5,2011,52,266,288,
14,20,57,5,2011,52,266,288,
15,20,57,5,2011,36,266,288,
14,20,57,5,2011,52,266,288,
15,20,57,5,2011,41,266,288,
13,20,57,5,2011,54,310,388,
14,20,57,5,2011,52,266,288,
20,68,97,6,2011,188,175,169,
20,68,97,6,2011,188,276,248,
20,68,97,6,2011,188,276,248,
20,68,97,6,2011,188,276,248,
20,68,97,6,2011,188,175,169,
20,68,97,6,2011,188,276,248,
20,68,97,6,2011,188,175,169,
19,68,97,6,2011,188,175,169,
20,68,97,6,2011,188,276,248,
20,68,97,6,2011,188,276,248,
20,68,97,6,2010,188,276,248,
20,68,97,6,2010,188,276,248,
21,68,97,6,2010,188,175,169,
20,68,97,6,2010,188,175,169,
20,68,97,6,2010,188,276,248,
20,68,97,6,2010,188,276,248,
20,68,97,6,2010,188,175,169,
19,68,97,6,2010,188,175,169,
18,33,143,6,2012,5,263,249,
18,33,143,6,2012,5,263,249,
17,33,143,6,2012,5,263,249,
18,33,143,6,2012,5,263,249,
17,33,143,6,2012,5,263,249,
18,33,143,6,2011,5,263,249,
18,33,143,6,2011,5,263,249,
17,33,143,6,2011,5,263,249,
18,33,143,6,2011,5,263,249,
17,33,143,6,2011,5,263,249,
18,33,143,6,2010,5,263,249,
18,33,143,6,2010,5,263,249,
17,33,143,6,2010,5,263,249,
18,33,143,6,2010,5,263,249,
17,33,143,6,2010,5,263,249,
23,105,249,6,2010,200,170,177,
30,105,249,6,2010,200,140,236,
23,105,249,5,2011,200,170,177,
24,105,249,6,2011,200,170,177,
30,105,249,6,2011,200,140,236,
19,70,138,6,2011,165,285,253,
19,70,138,6,2011,165,285,253,
18,70,138,6,2011,165,285,253,
19,70,138,6,2011,165,285,253,
18,70,138,6,2011,165,285,253,
18,70,138,6,2011,165,305,280,
17,70,138,6,2011,165,305,280,
24,105,249,6,2011,200,170,177,
30,105,249,6,2011,200,140,236,
16,27,228,6,2012,89,354,325,
14,27,228,6,2012,89,354,325,
19,70,138,6,2012,165,285,253,
19,70,138,6,2012,165,285,253,
18,70,138,6,2012,165,285,253,
19,70,138,6,2012,165,285,253,
18,70,138,6,2012,165,285,253,
19,70,138,6,2012,165,305,280,
17,70,138,6,2012,165,305,280,
18,108,133,6,2010,165,265,250,
17,108,133,6,2010,165,265,250,
18,108,133,6,2010,165,265,250,
17,108,133,6,2010,165,265,250,
18,108,133,6,2010,165,265,250,
17,108,133,6,2010,165,265,250,
18,108,133,6,2010,165,265,250,
17,108,133,6,2010,165,265,250,
16,17,62,6,2011,92,354,325,
14,17,62,6,2011,92,354,325,
21,70,138,6,2012,165,240,270,
21,70,138,6,2012,165,240,270,
21,70,138,6,2012,165,240,270,
16,27,62,6,2010,89,354,325,
14,27,62,6,2010,89,354,325,
14,52,237,6,2011,169,435,398,
14,52,220,6,2010,169,435,398,
26,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
26,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
26,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
26,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
26,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
25,151,216,5,2011,155,140,128,
21,151,216,6,2011,155,197,139,
24,151,216,5,2011,155,113,109,
15,108,135,6,2012,212,505,470,
15,108,135,6,2012,212,505,470,
15,108,135,6,2012,212,505,470,
15,108,135,6,2011,212,505,470,
15,108,135,6,2011,212,505,470,
15,108,135,6,2011,212,505,470,
15,108,135,6,2010,212,505,470,
15,108,135,6,2010,212,505,470,
15,108,135,6,2010,212,505,470,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
14,20,57,5,2010,52,266,288,
15,20,57,5,2010,36,266,288,
15,20,57,5,2010,41,266,288,
14,20,57,5,2010,52,266,288,
13,20,57,5,2010,54,310,388,
14,20,57,5,2010,52,266,288,
15,20,57,5,2010,41,266,288,
16,15,161,6,2010,214,197,230,
16,23,161,6,2010,214,197,230,
17,15,161,6,2010,214,251,259,
17,23,161,6,2010,214,251,259,
15,25,57,5,2009,41,266,288,
14,25,57,5,2009,52,266,288,
14,25,57,5,2009,52,266,288,
13,25,57,5,2009,54,310,388,
15,25,57,5,2009,36,266,288,
14,25,57,5,2009,52,266,288,
14,25,57,5,2009,52,266,288,
15,25,57,5,2009,41,266,288,
17,23,161,6,2011,115,283,260,
17,23,161,6,2011,214,283,260,
17,23,161,6,2011,214,283,260,
17,15,161,6,2011,214,283,260,
19,75,16,6,2010,148,200,207,
18,75,16,6,2010,148,200,207,
18,75,16,6,2010,150,200,207,
18,75,16,6,2010,150,200,207,
24,212,41,6,2012,190,198,184,
24,212,41,6,2012,190,190,179,
24,212,41,6,2012,190,200,186,
24,212,41,6,2012,190,190,179,
24,212,41,6,2012,190,198,184,
22,212,41,6,2012,190,274,269,
24,212,41,6,2012,190,198,184,
22,212,41,6,2012,190,274,269,
22,212,41,6,2011,190,200,186,
22,212,41,6,2011,190,274,269,
22,212,41,6,2011,190,198,184,
24,212,41,6,2011,190,198,184,
22,212,41,6,2011,190,274,269,
22,212,41,6,2011,190,190,179,
22,212,41,6,2011,190,190,179,
22,212,41,6,2011,190,200,186,
22,190,39,5,2010,193,175,168,
21,190,39,5,2010,193,175,168,
22,190,39,5,2010,193,168,163,
22,190,39,5,2010,193,168,163,
22,190,39,5,2010,193,175,168,
22,190,39,5,2010,193,175,168,
22,190,39,5,2010,193,168,163,
19,190,39,5,2010,193,249,229,
19,190,39,5,2010,193,249,229,
31,239,203,6,2011,114,122,128,
31,239,203,6,2011,114,122,128,
17,233,153,6,2011,13,260,257,
17,233,153,6,2011,13,260,257,
16,233,153,6,2011,13,260,257,
16,233,153,6,2011,13,260,257,
16,233,153,6,2010,13,260,257,
17,233,153,6,2010,13,260,257,
16,233,153,6,2010,13,260,257,
17,233,153,6,2010,13,260,257,
27,8,158,5,2011,244,117,106,
28,8,158,5,2011,244,117,106,
27,8,158,5,2011,244,117,106,
27,8,158,5,2011,244,117,106,
35,212,41,6,2011,185,166,154,
23,47,29,6,2012,120,165,146,
22,47,29,6,2012,148,176,168,
21,47,29,6,2012,120,170,163,
22,47,29,6,2012,120,176,168,
21,47,29,6,2012,120,170,163,
22,47,29,6,2012,120,170,163,
20,47,29,5,2012,120,165,146,
21,47,29,6,2012,148,176,168,
22,47,29,6,2012,148,170,163,
21,47,29,6,2012,148,170,163,
20,73,79,5,2011,109,161,161,
20,73,79,5,2011,109,161,161,
18,73,79,6,2011,109,244,258,
17,73,79,6,2011,109,244,258,
20,73,79,5,2011,109,161,161,
18,73,79,6,2011,109,244,258,
17,73,79,6,2011,109,244,258,
17,5,135,6,2012,191,262,248,
17,5,135,6,2012,191,262,248,
16,5,135,6,2012,191,262,248,
17,5,135,6,2012,191,262,248,
16,5,135,6,2012,191,262,248,
16,5,135,6,2012,191,355,350,
17,5,135,6,2012,191,262,248,
16,5,135,6,2012,191,262,248,
16,5,135,6,2012,191,355,350,
27,8,158,5,2010,244,117,106,
28,8,158,5,2010,244,117,106,
27,8,158,5,2010,244,117,106,
27,8,158,5,2010,244,117,106,
17,5,135,6,2011,191,262,248,
17,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,355,350,
17,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,355,350,
17,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,262,248,
16,5,135,6,2011,191,355,350,
20,73,79,5,2010,109,161,161,
20,73,79,5,2010,109,161,161,
18,73,79,6,2010,109,244,258,
17,73,79,6,2010,109,244,258,
18,73,79,6,2010,109,244,258,
17,73,79,6,2010,109,244,258,
23,47,29,6,2011,120,165,146,
22,47,29,6,2011,148,176,168,
22,47,29,6,2011,148,170,163,
21,47,29,6,2011,148,176,168,
21,47,29,6,2011,148,170,163,
21,47,29,6,2011,148,176,168,
22,47,29,6,2011,148,170,163,
20,47,29,5,2011,120,165,146,
21,47,29,6,2011,148,170,163,
22,47,29,6,2011,148,176,168,
11,79,237,6,2012,220,430,316,
12,83,237,6,2012,220,525,391,
17,5,135,6,2010,191,262,248,
17,5,135,6,2010,191,262,248,
16,5,135,6,2010,191,262,248,
16,5,135,6,2010,191,355,350,
17,5,135,6,2010,191,262,248,
16,5,135,6,2010,191,262,248,
16,5,135,6,2010,191,355,350,
17,221,143,6,2011,191,273,270,
16,221,143,6,2011,191,273,270,
17,221,143,6,2011,191,273,270,
16,221,143,6,2011,191,273,270,
17,221,143,6,2011,191,273,270,
16,221,143,6,2011,191,273,270,
18,75,16,6,2011,148,200,207,
20,75,16,6,2011,148,200,207,
20,75,16,6,2011,148,200,207,
20,75,16,6,2011,150,200,207,
14,146,135,6,2010,191,280,265,
18,146,135,6,2010,191,225,406,
14,200,79,7,2010,137,382,391,
11,200,79,5,2010,137,510,612,
11,200,79,7,2010,137,518,465,
11,200,79,5,2010,137,621,738,
18,9,211,6,2011,132,230,200,
18,9,211,6,2011,132,230,200,
19,9,211,6,2011,132,300,300,
12,231,79,5,2011,137,510,612,
15,200,79,7,2011,137,536,590,
15,231,79,7,2011,137,429,516,
12,200,79,5,2011,137,621,738,
18,9,211,6,2010,127,300,300,
18,9,211,6,2010,127,300,300,
18,9,211,6,2010,142,230,200,
18,9,211,6,2010,142,230,200,
23,47,29,6,2010,148,176,168,
22,47,29,6,2010,120,176,168,
21,47,29,6,2010,148,170,163,
21,47,29,6,2010,148,176,168,
21,47,29,6,2010,120,176,168,
21,47,29,6,2010,120,170,163,
23,47,29,6,2010,148,170,163,
23,47,29,6,2010,120,176,168,
23,47,29,6,2010,120,170,163,
20,9,211,6,2011,127,300,300,
18,9,211,6,2011,142,230,200,
18,9,211,6,2011,142,230,200,
14,53,79,7,2010,134,382,391,
12,53,79,7,2010,109,507,465,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
12,53,79,7,2011,134,507,465,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
17,230,41,5,2012,71,265,262,
20,230,41,4,2012,71,162,162,
20,230,41,4,2012,71,162,162,
20,230,41,5,2012,71,162,162,
20,230,41,4,2012,71,162,162,
20,230,41,4,2011,71,162,162,
20,230,41,5,2011,71,162,162,
20,230,41,4,2011,71,162,162,
17,230,41,5,2011,71,265,262,
16,230,41,5,2010,71,265,262,
20,230,41,5,2010,71,162,162,
20,230,41,4,2010,71,162,162,
20,230,41,4,2010,71,162,162,
16,230,41,6,2010,71,265,262,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
16,82,52,6,2012,223,430,424,
15,82,52,6,2012,223,430,424,
22,12,24,4,2010,148,179,172,
21,12,24,4,2010,148,179,172,
19,12,24,5,2010,148,269,246,
19,12,24,5,2010,148,269,246,
22,12,62,4,2010,208,179,172,
21,12,62,4,2010,208,179,172,
19,12,62,5,2010,208,269,246,
19,12,62,5,2010,208,269,246,
22,12,62,4,2010,208,179,172,
21,12,62,4,2010,208,179,172,
19,12,62,5,2010,208,269,246,
19,12,62,5,2010,208,269,246,
20,230,41,4,2012,94,162,162,
20,230,41,4,2012,94,162,162,
16,230,41,5,2012,94,265,262,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
16,82,52,6,2011,223,430,424,
15,82,52,6,2011,223,430,424,
20,230,41,4,2011,94,162,162,
16,230,41,5,2011,94,265,262,
16,230,41,5,2010,109,265,262,
19,230,41,4,2010,101,162,162,
15,238,77,4,2011,231,225,255,
15,238,77,4,2011,231,225,255,
15,238,77,4,2011,231,225,255,
15,238,77,4,2010,231,225,255,
15,238,77,4,2010,231,225,255,
15,238,77,4,2010,231,225,255,
21,245,46,4,2011,193,160,157,
21,245,46,4,2011,190,160,157,
21,245,46,4,2010,190,160,157,
21,245,46,4,2010,193,160,157,
14,251,49,6,2011,175,556,551,
12,251,49,6,2011,175,556,551,
24,220,226,5,2011,210,148,146,
24,220,226,5,2011,210,148,146,
22,220,226,5,2011,210,168,167,
22,220,226,5,2010,210,152,146,
20,220,226,5,2010,210,168,167,
22,220,226,5,2010,210,152,146,
16,233,153,6,2010,13,260,257,
14,2,49,6,2010,175,556,551,
12,2,49,6,2010,175,556,551,
12,200,90,6,2011,142,556,551,
14,200,90,6,2011,142,556,551,
14,12,49,6,2011,193,556,551,
12,12,49,6,2011,193,556,551,
16,251,49,6,2011,193,270,223,
18,251,49,6,2011,193,270,223,
18,251,49,6,2011,193,270,223,
16,251,49,6,2011,193,270,223,
18,251,49,6,2011,193,270,223,
18,251,49,6,2011,193,270,223,
18,251,49,6,2011,193,270,223,
16,251,49,6,2011,193,304,273,
18,251,49,6,2011,193,304,273,
18,2,49,6,2010,223,270,223,
16,251,49,6,2011,193,304,273,
18,251,49,6,2011,193,304,273,
18,251,49,6,2011,193,304,273,
16,251,49,6,2010,193,270,223,
14,89,237,6,2011,163,310,327,
14,89,237,6,2011,163,310,327,
13,89,237,6,2011,163,381,401,
12,89,237,6,2011,163,381,401,
14,89,237,6,2011,163,381,401,
13,89,237,6,2011,163,381,401,
12,89,237,6,2011,163,381,401,
14,89,237,6,2011,163,381,401,
13,89,237,6,2011,163,381,401,
12,89,237,6,2011,163,381,401,
17,227,247,6,2010,104,230,200,
17,227,247,6,2010,104,300,300,
17,227,247,6,2010,104,300,300,
18,227,247,6,2010,104,230,200,
17,22,11,5,2009,54,297,253,
16,22,11,5,2009,54,297,253,
17,22,11,5,2009,54,297,253,
16,22,11,5,2009,54,297,253,
15,91,249,7,2011,117,382,391,
17,91,249,7,2011,117,268,258,
17,12,247,6,2011,104,230,200,
19,12,247,6,2011,104,300,300,
18,12,247,6,2011,104,230,200,
18,12,247,6,2011,91,320,332,
19,12,247,6,2011,104,300,300,
17,22,11,5,2010,36,297,253,
16,22,11,5,2010,36,297,253,
17,22,11,5,2010,36,297,253,
16,22,11,5,2010,36,297,253,
15,91,249,7,2010,117,382,391,
17,91,249,7,2010,117,268,258,
17,91,249,7,2011,111,268,258,
15,91,249,7,2011,111,382,391,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
16,82,52,6,2010,223,430,424,
15,82,52,6,2010,223,430,424,
17,5,62,7,2010,185,268,258,
15,5,135,7,2010,185,382,391,
16,5,135,7,2010,185,382,391,
18,5,62,7,2010,185,268,258,
13,22,183,7,2010,162,518,465,
18,247,247,6,2010,94,230,200,
17,247,247,6,2010,114,300,300,
17,247,247,6,2010,114,230,200,
17,247,247,6,2010,94,300,300,
17,247,247,6,2010,94,300,300,
18,247,247,6,2010,94,230,200,
17,247,247,6,2010,114,230,200,
16,247,247,6,2010,114,300,300,
14,123,135,6,2012,212,638,604,
14,123,135,6,2012,212,638,604,
14,123,135,6,2011,212,638,604,
14,123,135,6,2011,212,638,604,
14,123,135,6,2010,212,638,604,
14,123,135,6,2010,212,638,604,
21,222,254,6,2011,221,200,180,
24,214,254,6,2011,231,140,147,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
18,12,247,6,2011,114,300,300,
18,12,247,6,2011,94,230,200,
17,12,247,6,2011,114,230,200,
19,12,247,6,2011,94,300,300,
18,12,247,6,2011,94,230,200,
17,12,247,6,2011,114,230,200,
18,12,247,6,2011,94,320,332,
19,12,247,6,2011,114,300,300,
19,12,247,6,2011,94,300,300,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
15,5,62,7,2011,190,382,391,
15,5,62,7,2011,190,382,391,
17,5,62,7,2011,190,268,258,
13,22,79,7,2011,162,518,465,
22,5,62,7,2011,190,210,400,
17,5,62,7,2011,190,268,258,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,30,62,7,2011,216,268,258,
11,78,31,7,2010,138,382,391,
11,78,64,5,2010,138,500,516,
11,78,31,7,2011,138,382,391,
11,78,31,5,2011,138,500,516,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2012,212,430,424,
15,108,135,6,2012,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2011,212,430,424,
15,108,135,6,2011,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,108,135,6,2010,212,430,424,
15,108,135,6,2010,212,430,424,
16,2,49,6,2010,223,270,223,
18,2,49,6,2010,193,270,223,
14,29,217,6,2011,64,403,417,
16,2,49,6,2010,223,270,223,
18,2,49,6,2010,193,270,223,
18,2,49,6,2010,223,270,223,
18,2,49,6,2010,193,270,223,
16,2,49,6,2010,193,304,273,
18,2,49,6,2010,193,304,273,
16,2,49,6,2010,193,304,273,
18,2,49,6,2010,193,304,273,
18,2,49,6,2010,193,304,273,
18,2,49,6,2010,193,304,273,
17,143,19,5,2011,200,291,300,
16,143,19,5,2010,200,291,300,
24,230,226,5,2011,236,148,145,
22,230,226,5,2011,236,168,167,
20,230,226,5,2010,236,168,167,
19,57,8,6,2011,183,230,215,
18,57,8,6,2010,142,230,215,
19,57,8,6,2010,183,230,215,
18,57,8,6,2010,183,230,215,
18,200,90,6,2011,142,304,273,
18,200,90,6,2011,142,304,273,
16,200,90,6,2011,142,304,273,
18,200,90,6,2011,142,304,273,
18,200,90,6,2011,142,304,273,
16,200,90,6,2011,142,304,273,
18,200,90,6,2011,142,304,273,
18,200,90,6,2011,142,304,273,
14,89,234,6,2010,102,310,327,
14,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,310,327,
13,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,381,401,
14,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,381,401,
14,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,381,401,
13,89,234,6,2010,102,381,401,
24,199,234,5,2011,94,148,145,
15,153,107,4,2011,183,275,295,
15,153,107,4,2011,183,275,295,
15,153,107,4,2011,183,275,295,
15,153,107,4,2011,183,292,288,
17,22,11,7,2011,36,297,253,
17,22,11,7,2011,36,297,253,
17,22,11,7,2011,36,297,253,
17,22,11,7,2011,36,297,253,
17,174,24,6,2010,139,300,300,
17,174,24,6,2010,144,300,300,
18,174,24,6,2010,139,230,200,
23,174,24,6,2010,144,265,425,
17,174,24,6,2010,144,230,200,
16,174,24,6,2010,144,300,300,
17,174,24,6,2010,144,230,200,
18,174,24,6,2010,139,230,200,
17,174,24,6,2010,139,300,300,
17,231,148,7,2010,46,210,400,
13,231,148,7,2010,46,335,339,
12,231,148,7,2010,46,382,391,
24,214,254,6,2010,231,140,147,
21,222,254,6,2010,221,200,180,
12,231,148,7,2011,46,382,391,
13,231,148,7,2011,46,335,339,
17,231,148,7,2011,46,210,400,
26,199,158,6,2011,254,122,127,
24,199,158,4,2011,254,122,127,
24,199,158,4,2010,254,122,127,
26,199,158,6,2010,254,122,127,
16,174,95,7,2010,163,268,258,
16,174,95,7,2010,163,268,258,
16,174,224,7,2011,163,268,258,
16,174,224,7,2011,163,268,258,
23,174,24,6,2011,144,265,425,
18,174,24,6,2011,144,300,300,
18,174,24,6,2011,139,230,200,
17,174,24,6,2011,144,230,200,
17,174,24,6,2011,144,230,200,
18,174,24,6,2011,139,230,200,
19,174,24,6,2011,139,300,300,
19,174,24,6,2011,144,300,300,
19,174,24,6,2011,139,300,300,
23,85,13,5,2012,188,171,171,
21,85,13,6,2012,188,171,171,
20,85,13,6,2012,186,171,171,
21,85,13,6,2012,188,171,171,
14,85,13,6,2012,188,240,223,
20,85,13,6,2012,186,171,171,
13,85,13,6,2012,186,240,223,
21,85,13,6,2012,188,171,171,
14,85,13,6,2012,188,240,223,
20,85,13,6,2012,186,171,171,
13,85,13,6,2012,186,240,223,
23,85,13,5,2011,188,171,171,
21,85,13,6,2011,188,171,171,
22,85,13,6,2011,186,171,171,
21,85,13,6,2011,188,171,171,
19,85,13,6,2011,188,240,223,
22,85,13,6,2011,186,171,171,
13,85,13,6,2011,186,240,223,
21,85,13,6,2011,188,171,171,
19,85,13,6,2011,188,240,223,
22,85,13,6,2011,186,171,171,
18,36,166,7,2010,125,210,400,
14,36,166,7,2010,125,268,258,
18,36,166,7,2011,125,210,400,
15,36,166,7,2011,125,268,258,
25,245,3,6,2012,195,138,123,
22,245,3,6,2012,195,138,123,
26,245,3,6,2012,195,138,148,
26,245,3,6,2012,195,138,148,
28,245,3,6,2012,195,138,148,
26,245,3,6,2012,195,138,148,
26,245,3,6,2012,195,138,148,
26,245,3,6,2012,195,138,148,
26,245,3,6,2012,195,138,148,
17,184,24,6,2010,137,230,200,
17,184,24,6,2010,137,230,200,
17,184,24,6,2010,137,230,200,
18,184,24,6,2010,137,230,200,
26,245,3,6,2011,195,136,123,
22,245,3,6,2011,195,136,123,
24,245,3,6,2011,195,138,148,
28,245,3,6,2011,195,138,148,
26,245,3,6,2011,195,138,148,
24,245,3,6,2011,195,138,148,
24,245,3,6,2011,195,138,148,
18,225,118,6,2011,132,265,223,
18,225,118,6,2011,132,265,223,
18,225,118,6,2011,132,265,223,
17,225,118,6,2011,132,265,223,
18,225,118,6,2011,132,265,223,
17,225,118,6,2011,132,265,223,
17,225,118,6,2011,132,265,223,
22,85,13,5,2010,188,171,171,
21,85,13,6,2010,188,171,171,
22,85,13,6,2010,186,171,171,
21,85,13,6,2010,188,171,171,
19,85,13,6,2010,188,240,223,
22,85,13,6,2010,186,171,171,
13,85,13,6,2010,186,240,223,
21,85,13,6,2010,188,171,171,
19,85,13,6,2010,188,240,223,
22,85,13,6,2010,186,171,171,
13,85,13,6,2010,186,240,223,
24,118,158,4,2011,254,122,127,
26,118,158,6,2011,254,122,127,
24,118,158,4,2011,254,122,127,
26,118,158,5,2011,254,107,111,
25,118,158,4,2011,254,107,111,
26,118,158,5,2011,254,107,111,
13,29,217,6,2011,64,403,417,
10,29,217,6,2011,64,403,417,
9,29,217,6,2011,64,403,417,
